Fault,Index,Long.,Lat.,Transv. Ob.,Normal Ob.,Transv. Unc.,Normal Unc.,Correlation,Transv. Pred.,Normal Pred.,Transv. Unc.,Normal Unc.,Correlation
Wharekauhau 3,141,175.13304,-41.282322,0,-1.768,0.792,0.926,0,-0.006,-1.581,0.9,0.98,-0.288
Wharekauhau 2,142,175.042109,-41.398577,0,-1.768,0.792,0.926,0,-0.048,-1.639,0.728,0.862,0.18
Wharekauhau 1,143,174.865163,-41.557027,0,-1.768,0.792,0.926,0,0.014,-1.712,0.802,0.955,-0.094
Mascarin 2,144,174.973169,-40.489793,0,-1.026,1.74,0.51,0,-0.036,-0.426,0.978,0.365,-0.053
Wellington Hutt Valley 5,145,175.157386,-41.087425,5.456,1.331,1.855,1.435,0.135,5.379,1.471,1.53,1.279,0.034
Wellington Tararua 1,146,175.231552,-41.065253,4.314,1.823,1.793,1.799,-0.003,4.912,1.992,1.508,2.215,-0.17
Wellington Tararua 2,147,175.35442,-40.974624,6.1,0,1.5,0.752,0,5.691,-0.082,1.585,0.731,0.176
Wellington Tararua 3,148,175.485262,-40.789832,4.997,-1.749,1.793,1.517,-0.134,4.39,-0.827,1.349,1.364,-0.255
Wellington Pahiatua,149,175.696504,-40.475722,5.613,-0.172,0.712,0.738,0.002,5.516,-0.142,0.616,0.853,0.399
Otaki Forks 2,150,175.341105,-40.778199,0.8,0,0.4,0.068,0,0.686,0.002,0.362,0.061,0.063
Otaki Forks 1,151,175.142168,-40.991186,0.693,-0.104,0.412,0.181,-0.281,0.656,-0.109,0.375,0.135,-0.485
Akatarawa,152,175.061943,-41.095368,0.519,-0.078,0.309,0.135,-0.284,0.498,-0.075,0.354,0.113,-0.3
Hikurangi Raukumara,153,179.048761,-38.730274,0,-54,13.194,27,0,4.849,-32.959,9.423,6.38,-0.527
Hikurangi Hawke Bay,154,178.351126,-40.286234,0,-44,10.752,22,0,2.137,-13.683,9.72,6.436,-0.64
Hikurangi Wellington,155,176.496952,-41.691998,0,-25,6.108,5,0,0.52,-21.958,5.804,5.056,0.115
Dry River - Huangarua 2,156,175.496086,-41.247349,0,-0.296,0.338,0.26,0,-0.017,-0.322,0.361,0.285,-0.197
Dry River - Huangarua 1,157,175.251073,-41.432732,0,-0.296,0.338,0.26,0,-0.011,-0.172,0.2,0.14,0.089
Opouawe - Uruti,158,175.421452,-41.731322,0,-1.149,0.446,0.894,0,0,-1.066,0.446,0.852,0.104
Wairarapa 2,159,175.25093,-41.16947,10.618,-1.322,2.522,2.068,-0.05,10.895,-0.172,2.109,1.881,0.129
Palliser - Kaiwhata,160,175.718038,-41.464923,3.214,-2.934,1.825,1.748,-0.474,3.049,-2.469,2.039,1.608,-0.535
BooBoo,161,175.403418,-41.677018,10,0,2,0.992,0,10.055,0.052,1.769,0.917,0.228
Himatangi Anticline,162,175.348863,-40.399436,0,-0.1,0.084,0.066,0,-0.002,-0.106,0.096,0.078,0.161
Carterton,163,175.715509,-40.98836,2.079,0.311,0.846,0.524,0.152,1.934,0.243,1.019,0.566,0.299
Wairarapa 3,164,175.481137,-40.984673,5.796,-0.531,1.703,1.002,-0.103,5.728,-0.521,1.635,0.9,-0.047
Mokonui Northeast,165,175.928999,-40.800335,0.464,0.064,0.262,0.1,0.316,0.375,0.055,0.254,0.094,0.405
Mokonui Southwest,166,175.611372,-40.90553,0.5,0,0.25,0.042,0,0.489,0,0.233,0.043,-0.003
Alfredton - Makuri 2,167,175.808646,-40.732241,3.381,-0.31,1.115,0.587,-0.127,3.286,-0.312,1.068,0.657,-0.126
Alfredton - Makuri 1,168,175.7525,-40.7575,2.052,1.928,2.451,2.565,-0.732,2.548,1.713,2.459,2.708,-0.732
Wairarapa 3,169,175.58276,-40.888635,5.796,-0.531,1.703,1.002,-0.103,5.439,-0.261,1.385,0.963,-0.044
Feilding Anticline,170,175.654,-40.1058,0,-0.15,0.126,0.072,0,0,-0.15,0.121,0.069,-0.088
Opouawe - Uruti,171,176.237459,-41.48749,0,-1.149,0.446,0.894,0,0.004,-1.002,0.467,0.83,-0.32
Pohangina Anticline,172,175.760313,-40.184353,0,-0.05,0.042,0.05,0,0,-0.03,0.03,0.028,0.076
Patoka - Rangiora,173,176.390522,-39.577754,2.984,-0.027,2.012,0.255,-0.071,4.435,-0.024,1.985,0.264,-0.15
Mohaka South,174,176.192588,-39.894908,3.978,-0.036,1.024,0.34,-0.025,4.342,-0.073,1.12,0.384,0.016
Wellington Pahiatua,175,175.871075,-40.291868,5.613,-0.172,0.712,0.738,0.002,5.662,-0.175,0.644,0.775,-0.166
Ruahine North,176,176.485629,-39.24851,0.952,-0.095,0.676,0.357,-0.138,0.956,0,0.594,0.308,-0.155
Ruahine Central,177,176.27007,-39.684579,0.952,-0.095,0.676,0.357,-0.138,1.092,-0.194,0.543,0.313,-0.125
Ruahine South,178,175.93315,-40.140815,0.952,-0.095,0.676,0.357,-0.138,0.972,-0.103,0.688,0.318,-0.091
Pahiatua,179,175.966001,-40.351158,0.2,-0.118,0.273,0.336,0.382,0.201,-0.123,0.282,0.303,0.272
Saunders Road - Waipukaka,180,176.079524,-40.560797,2.048,-0.49,1.05,0.642,-0.261,2.18,-0.49,1.061,0.696,-0.187
